,0
0,-2000.0006691368721
1,-2000.002416665206
2,-2000.00681715667
3,-2000.0138013429575
4,-2000.023229077924
5,-2000.0348756174224
6,-2000.0484126945062
7,-2000.0634118870255
8,-2000.0795375262269
9,-2000.096346584268
10,-2000.1134114355946
11,-2000.130352305572
12,-2000.1468446380698
13,-2000.1626188807174
14,-2000.1773716029036
15,-2000.1909615976176
16,-2000.2033211783917
17,-2000.214377789972
18,-2000.2241045740248
19,-2000.232524374973
20,-2000.239725369865
21,-2000.2456609522487
22,-2000.250673234356
23,-2000.2549397768287
24,-2000.2586632021112
25,-2000.2618885349336
26,-2000.2648233701846
27,-2000.2677589491177
28,-2000.2708613909645
29,-2000.2740216507143
30,-2000.277585583236
31,-2000.2815637934796
32,-2000.285730429616
33,-2000.2901740400384
34,-2000.2949751379917
35,-2000.3000802090548
36,-2000.3053758791052
37,-2000.3108589687051
38,-2000.31660179424
39,-2000.3225903985158
40,-2000.328828628322
41,-2000.3353023763127
42,-2000.3419110845268
43,-2000.3488081703595
44,-2000.356000090747
45,-2000.363484493975
46,-2000.3712479692476
47,-2000.379270877985
48,-2000.3875275671078
49,-2000.3959879806334
50,-2000.4045617006216
51,-2000.413269911015
52,-2000.4221021180495
53,-2000.431033871893
54,-2000.4400447952537
55,-2000.4491169653827
56,-2000.4582352540065
57,-2000.4673864195943
58,-2000.4765587266788
59,-2000.4857411189676
60,-2000.494922837608
61,-2000.5040932444363
62,-2000.5132415538874
63,-2000.5223571633505
64,-2000.5314291554826
65,-2000.5404456837896
66,-2000.5493950020596
67,-2000.5582655333358
68,-2000.5669751083547
69,-2000.5755715836528
70,-2000.5840531630959
71,-2000.5924154092743
72,-2000.6006543781016
73,-2000.6087681211905
74,-2000.6167567268724
75,-2000.6246230208098
76,-2000.6323726345565
77,-2000.6399161582228
78,-2000.6473092523506
79,-2000.6546083876042
80,-2000.661825727547
81,-2000.6689737517413
82,-2000.6760649134144
83,-2000.6830170655273
84,-2000.6898400542143
85,-2000.6966317615604
86,-2000.7034006475335
87,-2000.710153954276
88,-2000.7167986499076
89,-2000.7233194541022
90,-2000.729835082938
91,-2000.7363498527563
92,-2000.7428574093499
93,-2000.749140577613
94,-2000.7554293745222
95,-2000.7617281874898
96,-2000.7680311723427
97,-2000.7741024190368
98,-2000.7801954617448
99,-2000.7863168947038
100,-2000.7923778509473
101,-2000.7982925492186
102,-2000.8042506116137
103,-2000.810258134475
104,-2000.8160612866227
105,-2000.8218814802326
106,-2000.8277613621663
107,-2000.8335221045882
108,-2000.8392119408709
109,-2000.8449616122352
110,-2000.8506277455008
111,-2000.8561668995603
112,-2000.861759754453
113,-2000.8672631413635
114,-2000.872620211272
115,-2000.8780257877524
116,-2000.8833029713153
117,-2000.888453706291
118,-2000.893650029771
119,-2000.8986474194703
120,-2000.9035741510127
121,-2000.9085458489678
122,-2000.9132195176742
123,-2000.9179135983204
124,-2000.922561462784
125,-2000.926975345482
126,-2000.9314406516394
127,-2000.9357197733232
128,-2000.9399123981864
129,-2000.9441465830314
130,-2000.9480772997483
131,-2000.9520811773518
132,-2000.9559544359015
133,-2000.959724608869
134,-2000.9635698552834
135,-2000.9671246163116
136,-2000.970782121507
137,-2000.9743040566354
138,-2000.9777697432764
139,-2000.9812775276
140,-2000.98455928155
141,-2000.9879599841227
142,-2000.9911504120857
143,-2000.994371677316
144,-2000.9975358114987
145,-2001.0005758728282
146,-2001.0037047757846
147,-2001.0065611951509
148,-2001.0095404403412
149,-2001.012318563803
150,-2001.0151141249914
151,-2001.017842086416
152,-2001.0204537416168
153,-2001.023127224392
154,-2001.025555315561
155,-2001.0281107186386
156,-2001.0304160823484
157,-2001.0327893043352
158,-2001.0350336806837
159,-2001.0372252422248
160,-2001.039407192376
161,-2001.041418439044
162,-2001.0435383620672
163,-2001.045373144869
164,-2001.0473436679094
165,-2001.049102854254
166,-2001.050911217414
167,-2001.0526291797887
168,-2001.0542877525563
169,-2001.055976862762
170,-2001.057497058084
171,-2001.0591676094134
172,-2001.0605569901877
173,-2001.0621028429928
174,-2001.063476516317
175,-2001.0648936061498
176,-2001.066255665957
177,-2001.0675382496793
178,-2001.068880397167
179,-2001.0700132313098
180,-2001.0712818651255
181,-2001.0722807508564
182,-2001.0733663273315
183,-2001.0743000707862
184,-2001.0751824000035
185,-2001.0760363222907
186,-2001.0766990748755
187,-2001.0774625835481
188,-2001.0778944825609
189,-2001.0784212148346
190,-2001.0787561675916
191,-2001.0790409188376
192,-2001.0792808054214
193,-2001.079322806151
194,-2001.0794562043443
195,-2001.0792811632598
196,-2001.0791830185126
197,-2001.0789454962564
198,-2001.0786319344734
199,-2001.0783556441422
200,-2001.0778459000467
201,-2001.0774514076343
202,-2001.0768707924694
203,-2001.0763083621227
204,-2001.0757514285513
205,-2001.0750389517184
206,-2001.0744591187226
207,-2001.07368103734
208,-2001.0729705886408
209,-2001.0722656472701
210,-2001.0714338959988
211,-2001.070741368905
212,-2001.0698685355296
213,-2001.0690595521685
214,-2001.0682864866765
215,-2001.0673608517245
216,-2001.0665689793468
217,-2001.0656474062246
218,-2001.0647311914781
219,-2001.0639163809028
220,-2001.0628692470332
221,-2001.0619422291938
222,-2001.060975790368
223,-2001.0599042362578
224,-2001.0589429661309
225,-2001.0578189671623
226,-2001.056699891429
227,-2001.0556801491246
228,-2001.0543968262077
229,-2001.0532096964837
230,-2001.0520305753348
231,-2001.0506694168864
232,-2001.049397035838
233,-2001.0480613346888
234,-2001.0466075873437
235,-2001.0452363536895
236,-2001.0437508536002
237,-2001.0421931580652
238,-2001.0407125646564
239,-2001.039087153768
240,-2001.037416483378
241,-2001.0358181103536
242,-2001.0340650475425
243,-2001.0322743615536
244,-2001.0305518171535
245,-2001.0286857916976
246,-2001.0267701228988
247,-2001.0249190831694
248,-2001.0229571563902
249,-2001.0209134765619
250,-2001.0189314266906
251,-2001.0168926462704
252,-2001.0147194237848
253,-2001.012605185774
254,-2001.0105100606133
255,-2001.008206716384
256,-2001.0059598683686
257,-2001.0037678832455
258,-2001.0013961328636
259,-2000.9990164885692
260,-2000.9966891601077
261,-2000.9943089214337
262,-2000.9917960453395
263,-2000.9893327448015
264,-2000.9869172174408
265,-2000.9843183291614
266,-2000.981717758192
267,-2000.9791618365737
268,-2000.9766011584593
269,-2000.9738611961134
270,-2000.9711624565468
271,-2000.968502883388
272,-2000.9657777603236
273,-2000.9629329689058
274,-2000.9601235484445
275,-2000.9573473308735
276,-2000.9544852986721
277,-2000.9515219576922
278,-2000.9485877953848
279,-2000.9456805878394
280,-2000.9427084283811
281,-2000.9396118863806
282,-2000.936538221436
283,-2000.9334852172756
284,-2000.9304298313994
285,-2000.927185456764
286,-2000.9239577960525
287,-2000.9207446978683
288,-2000.917544033564
289,-2000.9142281231232
290,-2000.910833128301
291,-2000.9074469862855
292,-2000.9040676854327
293,-2000.9006932467726
294,-2000.8971574397062
295,-2000.8935872576546
296,-2000.8900188644184
297,-2000.8864504231744
298,-2000.88288013296
299,-2000.8791696039484
300,-2000.8754039909481
301,-2000.871634004996
302,-2000.8678579878494
303,-2000.8640743151773
304,-2000.8602390295653
305,-2000.8562622739817
306,-2000.8522758535598
307,-2000.8482782712786
308,-2000.8442680592577
309,-2000.8402437777272
310,-2000.8361629402104
311,-2000.8319492915628
312,-2000.8277200802759
313,-2000.8234739682714
314,-2000.8192096403634
315,-2000.8149258033668
316,-2000.8106211858717
317,-2000.8062098149992
318,-2000.8017215563932
319,-2000.7972114962588
320,-2000.7926784489443
321,-2000.7881212502743
322,-2000.7835387559148
323,-2000.778929841508
324,-2000.7742934025382
325,-2000.7695108012676
326,-2000.764699021937
327,-2000.7598591872024
328,-2000.7549902574008
329,-2000.7500912238434
330,-2000.7451611087956
331,-2000.7401989656146
332,-2000.7352038758854
333,-2000.730174949655
334,-2000.7250347601394
335,-2000.719842296357
336,-2000.7146161473565
337,-2000.709355571124
338,-2000.704059885074
339,-2000.6987284816328
340,-2000.6933608514369
341,-2000.6879566194539
342,-2000.68251560262
343,-2000.6770378991987
344,-2000.6715240156273
345,-2000.6659750185615
346,-2000.6603682685843
347,-2000.654693047087
348,-2000.6489929179586
349,-2000.6432718665649
350,-2000.6375343877462
351,-2000.6317852949037
352,-2000.6260295353907
353,-2000.6202720355013
354,-2000.6145175863232
355,-2000.6087707699273
356,-2000.6030359180559
357,-2000.597317092717
358,-2000.5916180789134
359,-2000.585942382951
360,-2000.5802932331164
361,-2000.5746735830041
362,-2000.5690861178423
363,-2000.563533265304
364,-2000.558017214216
365,-2000.5525399396458
366,-2000.5471032332587
367,-2000.5417087366188
368,-2000.5363579749821
369,-2000.531052389231
370,-2000.5257933640291
371,-2000.5205822506773
372,-2000.5154203836369
