#{"t_start": 1700722466.705132, "env_id": null}
r,l,t
-621927.086334,439,45.400863
-482350.716888,261,59.445588
-486701.989421,261,72.982941
-487392.614466,261,86.585488
-487905.996418,261,100.335198
-487498.887344,261,113.9445
-490949.583469,262,127.703951
-489907.868829,262,141.392341
-490672.626078,262,154.905604
-490051.751255,262,168.692893
-490323.916567,262,182.274043
-489899.830362,262,195.9535
-489825.453788,262,209.501221
-488440.262144,262,223.053731
-488495.640693,262,236.623953
-488333.035303,262,250.203122
-487467.180733,262,264.130229
-487753.301705,262,277.855964
-487273.751384,262,292.722013
-486358.693318,262,307.560638
-487361.570585,262,321.302953
-487063.682107,262,335.023357
-486735.801215,262,348.761547
-485944.725638,262,362.606812
-486313.366091,262,376.231217
-485697.043192,262,390.088401
-481708.158349,261,403.873405
-482130.690309,261,417.638071
-479526.940329,261,431.432078
-483540.506241,262,445.301788
-482198.990289,262,459.014338
-479480.172186,261,472.688868
-477633.750175,261,486.450382
-478827.796471,262,500.234597
-476053.212493,262,513.968509
-477046.971177,263,527.694012
-475430.880218,262,541.372273
-468794.196186,262,554.982504
-472029.27098,269,569.071581
-470549.527172,270,583.103458
-470906.935781,277,597.496612
-464395.796111,267,611.766923
-476602.055034,288,626.434574
-454688.344132,270,640.496705
-409091.064666,250,653.652338
-399562.947967,241,666.675483
-388829.898732,239,679.560602
-379373.360151,231,692.00781
-379550.428604,233,704.674539
-404886.641763,243,717.662676
-12473282.509549,4090,881.460909
-1678630.159342,2067,965.839076
-2395454.893798,2219,1056.110856
-2634701.668526,2373,1152.628786
-2121408.494218,2095,1238.247026
-2118770.066633,2073,1323.551317
-1846992.340465,2165,1412.001854
-1685400.881327,2114,1497.878067
-1655030.78157,2088,1583.237514
-1618365.227026,2087,1668.503094
-1589958.059214,2072,1753.38601
-1411894.35666,2080,1838.703473
-1615674.81826,2088,1924.907179
-1397978.492755,2058,2009.394466
-1550158.4823,2062,2094.266078
-1467269.609385,2057,2178.887921
-1673577.135116,2046,2262.446547
-1403319.700361,2064,2348.033286
-1450769.994585,2053,2444.126471
-1638920.336962,2056,2534.747198
-1561252.97459,2045,2618.411919
-1742184.314074,2052,2704.632163
-1841474.800204,2061,2790.40015
-1743480.758638,2041,2876.719823
-1684556.777333,2023,2960.668983
-1738307.877538,2041,3045.279902
-1799407.970856,2050,3130.837332
-1759428.72453,2039,3216.561874
-1381972.624239,2046,3302.398975
-4446279.826249,3447,3451.556333
-1603564.392771,2027,3541.862718
-1495537.671982,2033,3629.200483
-1620737.009249,2034,3720.29757
-1365111.199943,2043,3810.299771
-1301042.335003,2041,3902.885981
-1507753.244186,2044,3993.974924
-1570108.458361,2032,4084.544373
-1473022.710597,2045,4177.628424
-1591942.830711,2036,4269.376957
-1192617.970305,2043,4365.6228
-1194437.511248,2045,4455.593195
-1210110.28336,2063,4548.402647
-1118293.039405,2054,4649.34914
-1014668.03481,2061,4738.710838
-991119.029529,2060,4831.974738
-1154552.063836,2165,4929.255439
-1180377.475526,2066,5021.201131
-1024362.334949,2078,5112.961676
-953467.533358,2057,5205.446642
-929245.167364,2052,5296.54812
-876687.325931,2067,5386.732723
-751922.944827,2063,5479.150501
-670866.802371,2046,5569.132034
-623009.832917,2040,5660.22514
-594721.473394,2042,5750.674403
-623141.457081,2032,5840.845945
-595080.117832,2035,5930.524384
-593252.386973,2032,6023.695656
-585053.709049,2044,6122.496955
-613448.235606,2055,6216.917108
-536412.328321,2053,6309.212311
-536265.463746,2038,6401.009857
-456335.499794,2037,6491.623735
-311206.79192,2040,6582.799813
-303849.960409,2029,6674.005758
-603320.29672,2052,6765.855241
-561430.452787,2049,6857.694815
-597716.681726,2056,6950.325468
-600813.413664,2034,7042.0726
-614779.512049,2043,7134.970348
-654357.249167,2054,7227.510781
-578499.375751,2042,7318.894183
-637765.837839,2078,7412.9187
-580756.314692,2043,7504.973476
-607273.54011,2043,7596.594821
-543542.435501,2043,7688.243674
-604065.161054,2046,7779.049004
-686626.780081,2069,7871.879047
-586347.61086,2044,7964.928947
-584718.916183,2042,8058.314725
-721352.64574,2081,8152.940768
-657944.779365,2032,8244.93005
-718180.656832,2085,8339.419034
-673491.782766,2052,8432.633728
-598756.430594,2037,8527.095522
-938015.956291,2072,8622.824472
-607035.058712,2035,8715.65874
-635987.555864,2030,8807.619155
-623626.502349,2049,8899.688936
-626598.866133,2042,8993.443965
-773159.768646,2107,9089.488887
-579102.70444,2076,9191.293927
-5855120.856722,3448,9348.388578
-634024.620381,543,9375.115471
-624300.53863,599,9405.529456
-658056.542645,2074,9496.663971
-734327.088687,710,9531.097974
-648526.058151,2102,9624.021293
-679944.288802,705,9658.230546
-804231.338232,2062,9750.051598
-1642788.895815,1402,9813.278062
-1689812.966927,1436,9877.194863
-6649168.938065,3448,10029.201823
-1681061.538955,1208,10083.368365
-901964.631992,2061,10175.149977
-2154043.570841,3448,10324.011503
-650913.605687,2131,10417.628292
-723840.668615,741,10453.099797
-582853.127313,2057,10545.779384
-650724.101861,2064,10638.172197
-622891.021475,2066,10731.106042
-623730.200647,2055,10822.168775
-604918.730822,2062,10914.707974
-574611.5335,2047,11007.67327
-607023.311642,2059,11099.307243
-601072.33212,2056,11190.089561
-5840278.250285,3448,11341.100297
-844879.135076,2067,11433.587566
-2933806.417889,2559,11549.418489
-788714.05059,2087,11640.110285
-926735.396699,2300,11740.291911
-1585645.776918,2923,11868.283953
-606282.838974,2104,11962.132832
-764249.315638,2102,12055.30075
-619254.65082,2078,12147.694511
-630744.068037,2114,12241.923641
-555295.893552,2047,12331.606189
-673466.737172,2065,12423.60435
-589951.047547,2050,12514.747735
-821187.615311,2063,12605.385075
-635325.649199,2051,12695.594676
-646924.48413,2069,12787.157575
-637284.270969,2051,12878.208743
-747280.493582,2163,12973.043797
-686414.635825,2119,13066.380631
-802272.231995,2219,13163.418395
-674241.35632,2059,13255.116958
-794241.60193,2053,13346.341947
-822213.205093,2080,13436.630689
-599719.41606,2040,13526.667309
-693486.678672,2096,13618.368831
-629465.717279,2116,13711.702631
-621593.178278,2109,13805.695611
-623838.810038,2085,13896.816875
-685003.943748,2143,13991.089145
-737514.755486,2170,14086.158124
-653939.425411,2133,14180.724711
-750946.055289,2276,14280.661957
-632063.868599,2089,14372.221919
-1050777.399067,2051,14462.987242
-610022.248978,2088,14554.299284
-985227.734513,2092,14646.298472
