#{"t_start": 1701340968.9505587, "env_id": "None"}
r,l,t
-429030.305976,243,1108.661258
-460752.522934,253,1122.262496
-474482.908371,257,1135.395561
-458745.558396,254,1148.498438
-460296.250579,254,1161.456432
-464646.353252,255,1174.501425
-455306.025742,252,1187.686069
-452625.223434,252,1200.823766
-451986.434917,251,1213.719245
-448726.527199,250,1226.642179
-454778.219302,252,1239.899373
-453096.888001,251,1253.147092
-447807.642886,250,1265.679587
-448911.770652,251,1278.815663
-448718.497766,250,1291.483743
-441921.57201,248,1304.445751
-442412.072372,248,1317.232821
-440875.420636,248,1329.957275
-439567.619081,247,1342.626441
-433072.884356,244,1355.357276
-431683.056165,244,1367.918871
-433779.668807,246,1380.532717
-423203.126968,241,1393.30539
-427981.453087,243,1406.180078
-411179.46999,236,1418.553025
-416813.427087,238,1431.035447
-412120.311824,238,1443.814278
-402012.306806,234,1456.129206
-381423.024737,225,1468.353185
-356073.370156,217,1479.972619
-352166.803846,215,1491.398624
-355150.092753,218,1503.156862
-356295.803558,220,1514.712807
-556934.0688,346,1531.103493
-356491.499302,220,1542.81413
-362378.120392,223,1554.315663
-566701.97668,355,1570.704187
-451284.393291,285,1584.861404
-454701.154427,291,1599.252523
-480709.381039,309,1614.352042
-477350.264499,308,1629.305626
-933886.937277,561,1653.489122
-489023.389779,317,1668.670748
-507995.302339,329,1684.3232
-850594.875244,542,1707.807883
-1070616.659693,707,1737.260063
-1256643.825775,925,1774.655992
-728483.213337,482,1795.971951
-847003.716167,561,1820.342482
-828944.717595,581,1845.433208
-974615.952599,629,1872.080314
-817983.61224,537,1895.430809
-683300.329906,454,1915.679318
-842203.116092,545,1939.393479
-1384884.805475,940,1977.372049
-1717704.758139,1132,2022.370185
-1372793.005196,982,2062.152129
-1663542.018021,1194,2109.311225
-1396311.123109,1052,2151.12759
-2612183.836148,2144,2233.144796
-2594967.735768,2117,2314.641312
-8536123.058971,4057,2467.170988
-2083807.437401,2051,2545.926169
-1736346.715508,2042,2624.09388
-2310387.995402,2310,2711.779333
-1994736.746312,2089,2791.554559
-2446086.735674,2212,2875.940944
-2925365.383811,2639,2975.83716
-3364966.253272,2720,3078.669591
-6392962.780622,4668,3252.285193
-6198760.354274,4681,3426.595098
-2078489.278547,935,3464.460427
-7340433.208104,3779,3605.920402
-4700671.870706,4416,3770.651457
-5205482.849968,4628,3943.252448
-478805.903084,291,3957.531906
-735564.647813,486,3978.955614
-11413056.411883,6280,4212.424406
-4653548.981615,3980,4361.570478
-5406219.035271,3596,4496.853334
-1564051.904197,1086,4540.019327
-943775.473292,711,4569.605493
-684696.839807,518,4592.244764
-913960.470716,704,4621.544306
-1090300.422255,807,4654.678426
-1111652.678184,825,4688.376012
-1017048.791754,921,4725.539728
-1058246.594498,938,4763.456139
-997451.361057,910,4800.454408
-975818.754432,903,4837.097696
-1042588.40789,939,4875.243286
-1044505.078425,933,4912.950811
-1066937.331181,940,4950.906163
-1112379.902093,972,4990.180579
-1068835.350601,946,5028.365802
-1065007.393651,928,5065.911036
-1113673.278074,956,5104.438746
-1698668.868793,1324,5156.570379
-1502351.661913,1229,5205.06353
-1151730.792751,930,5242.453701
-1115764.056396,943,5280.320152
-909840.661554,860,5315.362192
-2425450.143416,2059,5393.973493
-1035470.442321,958,5434.522818
-1040524.539414,887,5470.425077
-2404443.475925,2133,5551.622224
-2099669.075097,2037,5629.299926
-1158090.596833,1001,5669.378728
-2002145.825413,2047,5747.485501
