,0
0,-0.14657866244887652
1,-0.03078942192001892
2,-0.11603593433925029
3,-0.29125019266279156
4,-0.5216986731363372
5,-0.3243055956401288
6,-0.2221423680248077
7,-0.6332281116755711
8,-0.8319480093968686
9,-1.0250424265095053
10,-1.6845632895511156
11,-2.085637962598113
12,-2.8786620157034566
13,-3.679577604016292
14,-4.740711452886682
15,-5.866932928870644
16,-7.253252005341194
17,-8.708732204877569
18,-10.39632469173871
19,-12.275915831348653
20,-14.306489706305992
21,-16.555767793615438
22,-19.01998315059167
23,-21.65505181796958
24,-24.505429313432845
25,-27.561878016834246
26,-30.81242455848441
27,-34.2342867010584
28,-37.841303246877104
29,-41.62384290470514
30,-45.57291568934791
31,-49.681114086874416
32,-53.93968633939163
33,-58.34717413381965
34,-62.90145093272736
35,-67.59587298704432
36,-72.42284561931547
37,-77.37353988688731
38,-82.43909518767892
39,-87.61204486710682
40,-92.88424733360071
41,-98.25163759055286
42,-103.71311380533504
43,-109.26569640297981
44,-114.90672246279891
45,-120.62709016096461
46,-126.43229240147497
47,-132.3190843385111
48,-138.2804861843669
49,-1144.32229913561
50,-1150.434996330845
51,-1156.6239042390712
52,-1162.880903322853
53,-1169.2115755743393
54,-1175.6091857211316
55,-1182.0780848322188
56,-1188.6177873654567
57,-1195.224511361813
58,-1201.9021011590812
59,-1208.6500848673422
60,-1215.4675749331336
61,-1222.3522012365809
62,-1229.3055381535246
63,-1236.3270522604823
64,-1243.4163447363571
65,-1250.5731104910437
66,-1257.7970828432008
67,-1265.0881616030736
68,-1272.4457363963434
69,-1279.8689969037227
70,-1287.3556582940676
71,-1294.9060617746843
72,-1302.5199786633939
73,-1310.1963575920213
74,-1317.934063036684
75,-1325.7350646439943
76,-1333.596226768156
77,-1341.5207600213216
78,-1349.5066059516457
79,-1357.5548887846255
80,-1365.6660223314684
81,-1373.8397904453188
82,-1382.0756311809112
83,-1390.3756652074937
84,-1398.7411430094353
85,-1407.173302462511
86,-1415.672977830936
87,-1424.2406888338733
88,-1432.8774809691372
89,-1441.585530403128
90,-1450.3666064755703
91,-1459.2212347888126
92,-1468.1513755034343
93,-1477.1581070227467
94,-1486.2419753944293
95,-1495.4035184515537
96,-1504.6431362086832
97,-1513.9589801639406
98,-1523.3502035296635
99,-1532.815020430753
100,-1542.3510936256296
101,-1551.9559009119848
102,-1561.6267807160257
103,-1571.3609866757452
104,-1581.1558673274742
105,-1591.0087424409503
106,-1600.9161150962404
107,-1610.8763694518798
108,-1620.8866703800668
109,-1630.9443145745472
110,-1641.0473394300207
111,-1651.193428899115
112,-1661.3798489142414
113,-1671.6050810288818
114,-1681.8669594621365
115,-1692.1634867458636
116,-1702.4928164175858
117,-1712.8532628031858
118,-1723.2432784574153
119,-1733.6614328905853
120,-1744.1063618669432
121,-1754.5767002507357
122,-1765.0703788190294
123,-1775.5862862417757
124,-1786.1227917627525
125,-1796.6779014611925
126,-1807.2501637320495
127,-1817.8380529009419
128,-1828.4391477646989
129,-1839.0524213108288
130,-1849.6761601855032
131,-1860.3087387709315
132,-1870.948630403236
133,-1881.594413007771
134,-1892.2447812765586
135,-1902.8985594331077
136,-1913.5546251152346
137,-1924.2115649552447
138,-1934.8691416908928
139,-1945.5262340088702
140,-1956.182449375218
141,-1966.837075424435
142,-1977.4901455439656
143,-1988.1410603007257
144,-1998.7897011795021
145,-2009.4362228343027
146,-2020.0807730440265
147,-2030.7234290172366
148,-2041.3642950255219
149,-2052.003515666277
150,-2062.6411050404267
151,-2073.2770142177224
152,-2083.9116724207574
153,-2094.54487690013
154,-2105.176534854585
155,-2115.8064397821927
156,-2126.434134430637
157,-2137.0584887965333
158,-2147.6791644272225
159,-2158.295271546156
160,-2168.905728629133
161,-2179.509369381218
162,-2190.1049659496425
163,-2200.691245618661
164,-2211.266912805395
165,-2221.830671534538
166,-2232.380823134122
167,-2242.9163700569543
168,-2253.4359207481666
169,-2263.938178732624
170,-2274.4218891600394
171,-2284.886103264874
172,-2295.3295886720025
173,-2305.751217608886
174,-2316.150169062886
175,-2326.5254178115338
176,-2336.8759257882484
177,-2347.200597821629
178,-2357.498018591013
179,-2367.7671299662143
180,-2378.00655187725
181,-2388.2143640384666
182,-2398.389718010062
183,-2408.5317992818564
184,-2418.6420342066194
185,-2428.722754863786
186,-2438.7774261855625
187,-2448.8102827633775
188,-2458.825357217334
189,-2468.8263153576936
190,-2478.816292264601
191,-2488.797882046776
192,-2498.773144156753
193,-2508.7433277104496
194,-2518.709758632444
195,-2528.673134999
196,-2538.6333756524027
197,-2548.5911199775633
198,-2558.545774054721
199,-2568.4975559431186
200,-2578.4459623374514
201,-2588.390478550132
202,-2598.330831037984
203,-2608.2665012936645
204,-2618.1969517861753
205,-2628.1216142481962
206,-2638.0398910051717
207,-2647.951174746652
208,-2657.8548470808364
209,-2667.7502801618325
210,-2677.6365993754725
211,-2687.5133596158967
212,-2697.3800005875682
213,-2707.2356212022514
214,-2717.0800538940302
215,-2726.912470914187
216,-2736.7326406296534
217,-2746.5401753863653
218,-2756.3345517217426
219,-2766.115549498867
220,-2775.8830042369937
221,-2785.636748341335
222,-2795.376699502867
223,-2805.1028723132945
224,-2814.8153829321463
225,-2824.514359604935
226,-2834.1999896974235
227,-2843.872714496099
228,-2853.5331386197176
229,-2863.182392806937
230,-2872.822303232798
231,-2882.454135651412
232,-2892.079618308898
233,-2901.7002065873558
234,-2911.317053101332
235,-2920.931705235477
236,-2930.545462040516
237,-2940.159634641825
238,-2949.7755084947594
239,-2959.394361916622
240,-2969.0175074693593
241,-2978.646331703096
242,-2988.282119101843
243,-2997.926514561978
244,-3007.5811654042745
245,-3017.2473406364657
246,-3026.9270081526292
247,-3036.621455783427
248,-3046.332531753351
249,-3056.061894554584
250,-3065.8111819872242
251,-3075.5820348412662
252,-3085.3761818647
253,-3095.1952354694035
254,-3105.0408054999125
255,-3114.9144114547425
256,-3124.817825175986
257,-3134.75278507848
258,-3144.7209383713503
259,-3154.7240300906496
260,-3164.7636138164057
261,-3174.840977721289
262,-3184.9567989738334
263,-3195.111316708972
264,-3205.3033721657252
265,-3215.5299114546006
266,-3225.7849657018064
267,-3236.058481500618
268,-3246.3355349876197
269,-3256.5966282009213
270,-3266.8193107330962
271,-3276.980451128229
272,-3287.0577017144883
273,-3297.0329977147744
274,-3306.8915305990104
275,-3316.62182595357
276,-3326.2150831454405
277,-3335.6655186864
278,-3344.9699971560235
279,-3354.1275318660755
280,-3363.140206529446
281,-3372.012455449054
282,-3380.7509874380594
283,-3389.3650116729177
284,-3397.8656090774552
285,-3406.2650816026267
286,-3414.574713341737
287,-3422.800461886953
288,-3430.9417412493945
289,-3438.993295363232
290,-3446.942253557993
291,-3454.756630507632
292,-3462.393413969651
293,-3469.854221770166
294,-3477.1399692816135
295,-3484.243343393304
296,-3491.155026578656
297,-3497.8682938579514
298,-3504.380399527251
299,-3510.692150510461
300,-3516.806912981087
301,-3522.729772818009
302,-3528.4671093957063
303,-3534.0264582197524
304,-3539.416305033717
305,-3544.645523362076
306,-3549.723039959754
307,-3554.657257244706
308,-3559.456388935887
309,-3564.12778227128
310,-3568.6782415367766
311,-3573.113946690677
312,-3577.4402519181976
313,-3581.6616124393904
314,-3585.7821926151814
315,-3589.8055818638873
316,-3593.7352299616377
317,-3597.5745682435663
318,-3601.3271507800278
319,-3604.996537819655
320,-3608.586148308948
321,-3612.099331688253
322,-3615.5392236453736
323,-3618.9087775728694
324,-3622.2106259413854
325,-3625.4473278001533
326,-3628.6211752572776
327,-3631.734340875068
328,-3634.7890219734873
329,-3637.787277511483
330,-3640.7306827979405
331,-3643.620405090693
332,-3646.45682819585
333,-3649.2398052304575
334,-3651.9686314158253
335,-3654.642572082649
336,-3657.261011919016
337,-3659.8234075151404
338,-3662.3291848609215
339,-3664.777654164901
340,-3667.168284528378
341,-3669.500361909714
342,-3671.773132367265
343,-3673.9863419521694
344,-3676.1402591618676
345,-3678.2357682579986
346,-3680.2739882104715
347,-3682.255632687011
348,-3684.1810288655183
349,-3686.0503438441674
350,-3687.863634922739
351,-3689.6210709179504
352,-3691.3229294527855
353,-3692.9695036280655
354,-3694.560986726814
355,-3696.09755977622
356,-3697.57945219451
357,-3699.0066541628653
358,-3700.3787523476144
359,-3701.6954529422114
360,-3702.9560562968527
361,-3704.1600583819427
362,-3705.306667421809
363,-3706.3953974086908
364,-3707.4255843735036
365,-3708.3964644670464
366,-3709.307453288481
367,-3710.1578490768206
368,-3710.9469056933626
369,-3711.673833084241
370,-3712.3377959138015
371,-3712.9379431576044
372,-3713.473438544941
373,-3713.943553770072
374,-3714.3479992431085
375,-3714.6867046227962
376,-3714.9596245310263
377,-3715.16716270953
378,-3715.3102851578633
379,-3715.39048620919
380,-3715.4088297366566
381,-3715.3669852512335
382,-3715.2663214586787
383,-3715.1086701058753
384,-3714.8958732105434
385,-3714.6297300238243
386,-3714.3122608880276
387,-3713.945317909118
388,-3713.5306770484626
389,-3713.0700105357055
390,-3712.5648430767833
391,-3712.016619212954
392,-3711.4265928652057
393,-3710.7958519055705
394,-3710.125290624859
395,-3709.4157097971565
396,-3708.66780888164
397,-3707.8821961486638
398,-3707.059315421821
399,-3706.199352467581
400,-3705.302390997776
401,-3704.368414171703
402,-3703.3971337925686
403,-3702.3881831901435
404,-3701.341030608085
405,-3700.254723206349
406,-3699.128427756805
407,-3697.9608331206246
408,-3696.7509196093342
409,-3695.4973324886364
410,-3694.198961325819
411,-3692.854627905251
412,-3691.463130594856
413,-3690.0235129878724
414,-3688.534747885887
415,-3686.9958577829284
416,-3685.4061158320524
417,-3683.764792202669
418,-3682.071233693124
419,-3680.3248736145533
420,-3678.525301428766
421,-3676.6716552898297
422,-3674.762777122581
423,-3672.7975220655303
424,-3670.774830246015
425,-3668.693717819371
426,-3666.5532534339422
427,-3664.352608205683
428,-3662.0909445757375
429,-3659.767437001062
430,-3657.381270080275
431,-3654.9316261716026
432,-3652.417653476058
433,-3649.838448246667
434,-3647.1930373586765
435,-3644.4803420343655
436,-3641.699266362876
437,-3638.848641819591
438,-3635.927240261768
439,-3632.9337635280885
440,-3629.8668295272864
441,-3626.7249773313306
442,-3623.5066839653705
443,-3620.210340940058
444,-3616.8344259150044
445,-3613.3774408748704
446,-3609.837903828908
447,-3606.2143763215076
448,-3602.5054160285845
449,-3598.709843886098
450,-3594.826832038281
451,-3590.8562082903827
452,-3586.799020189432
453,-3582.658746290463
454,-3578.442693918745
455,-3574.1635515313583
456,-3569.8402660690135
457,-3565.4974866676152
458,-3561.162693555669
459,-3556.8633842175086
460,-3552.6286652712524
461,-3548.4845718504794
462,-3544.446169956962
463,-3540.5238346857554
464,-3536.723725937119
465,-3533.048197765808
466,-3529.4962887824486
467,-3526.062421627695
468,-3522.7379885527175
469,-3519.5141110399377
470,-3516.3815156080796
471,-3513.330889756603
472,-3510.3539223859893
473,-3508.7719245699273
474,-3512.39362040143
475,-3515.9601683160895
476,-3519.4735831986786
477,-3522.933763393369
478,-3526.3393546155485
479,-3529.6876662000195
480,-3532.974471814727
481,-3536.195189808797
482,-3539.344989424744
483,-3542.418859627531
484,-3545.4118111329435
485,-3548.3191591683308
486,-3551.136620933878
487,-3553.8604840863304
488,-3556.4876894854183
489,-3559.0157712833648
490,-3561.4428059126635
491,-3563.7672999128536
492,-3565.9881153160663
493,-3568.10445140424
494,-3570.115745857881
495,-3572.0215399653994
496,-3573.8214042915247
497,-3575.51491108852
498,-3577.1016110541345
499,-3578.5809954970578
500,-3579.952459798698
501,-3581.215263159272
502,-3582.368511880973
503,-3583.41112280753
504,-3584.3418807910075
505,-3585.1593680529386
506,-3585.861958125697
507,-3586.4478794512406
508,-3586.915181915215
509,-3587.2617879347076
510,-3587.485628900678
511,-3587.5845334258643
512,-3587.556338411875
513,-3587.398843531598
514,-3587.110052439783
515,-3586.6880024609027
516,-3586.1308247361953
517,-3585.436755478709
518,-3584.6042487858235
519,-3583.631989171442
520,-3582.5187880662925
521,-3581.2635760923763
522,-3579.8652940379507
523,-3578.3229700163824
524,-3576.635774056746
525,-3574.8029452213636
526,-3572.823338778273
527,-3570.6957207417745
528,-3568.419048436781
529,-3565.9923796481494
530,-3565.526913767168
531,-3572.142367368712
532,-3578.9908602911137
533,-3586.0727926241593
534,-3593.388631152557
535,-3600.9388923430274
536,-3608.7241238197334
537,-3616.74488833154
538,-3625.0017511381034
539,-3633.495210150376
540,-3642.2258769657233
541,-3651.1943146074495
542,-3660.4010569132374
543,-3669.846474580159
544,-3679.5309831476306
545,-3689.454706833964
546,-3699.6170969900304
547,-3710.0178697844003
548,-3720.655507666347
549,-3731.5272788615116
550,-3742.6285508626033
551,-3753.95233499506
552,-3765.4888844918555
553,-3777.226067941819
554,-3789.1496485082916
555,-3801.2445882611114
556,-3813.495366741273
557,-3825.886728503271
558,-3838.4044537058608
559,-3851.0353606521585
560,-3863.7674053820274
561,-3876.5896719873854
562,-3889.492649795863
563,-3902.4683203835434
564,-3915.509984534484
565,-3928.611814108628
566,-3941.768385565523
567,-3954.974308743568
568,-3968.22418896075
569,-3981.5126648359847
570,-3994.835061533443
571,-4008.187282113935
572,-4021.566731224792
573,-4034.971478572409
574,-4048.4003362056164
575,-4061.852602441716
576,-4075.327974744494
577,-4088.826127641135
578,-4102.346825326817
579,-4115.889872435035
580,-4129.454990541463
581,-4143.041865693725
582,-4156.650183575009
583,-4156.650183575009
